Day,Reconstruction_Error,Risk_Status
0,0.04079901970267071,Warning
1,0.04174716626646518,Warning
2,0.03904919958189941,Warning
3,0.037127098532454626,Warning
4,0.035658330050300655,Warning
5,0.03383019732685038,Normal
6,0.031881681381687794,Normal
7,0.029491957080281534,Normal
8,0.028389908853377974,Normal
9,0.028241800749014945,Normal
10,0.028845010015310358,Normal
11,0.02834612913498651,Normal
12,0.028467873854806112,Normal
13,0.02735538208318745,Normal
14,0.027545922577805464,Normal
15,0.026777942613985826,Normal
16,0.026638767648247914,Normal
17,0.026261767387582412,Normal
18,0.02567082504013834,Normal
19,0.025949162306137676,Normal
20,0.025353618568308655,Normal
21,0.02589904383749639,Normal
22,0.026264889119164535,Normal
23,0.02679429638829553,Normal
24,0.02731865408104035,Normal
25,0.02805827804310182,Normal
26,0.02841926364291674,Normal
27,0.029386977606174012,Normal
28,0.029439547265954574,Normal
29,0.029176737852868707,Normal
30,0.029239034200352582,Normal
31,0.028799056588983747,Normal
32,0.029132232805804688,Normal
33,0.029134356539763206,Normal
34,0.02927531835101311,Normal
35,0.02946325014905418,Normal
36,0.02875937648540155,Normal
37,0.02784250193129348,Normal
38,0.028035794703039463,Normal
39,0.02790163730269166,Normal
40,0.02786069214763484,Normal
41,0.02741171611203704,Normal
42,0.027298810682513917,Normal
43,0.02810435339544113,Normal
44,0.027513782015218657,Normal
45,0.027333775905001113,Normal
46,0.02684301954129043,Normal
47,0.02669858742411067,Normal
48,0.026826348557158354,Normal
49,0.026035234035388544,Normal
50,0.026214339323082352,Normal
51,0.02660437243664484,Normal
52,0.026190247767044733,Normal
53,0.02627875275678813,Normal
54,0.02588232783760563,Normal
55,0.02642758312483415,Normal
56,0.02615113941651026,Normal
57,0.025926276308919905,Normal
58,0.026488805809971216,Normal
59,0.0268745552600114,Normal
60,0.02729541952114468,Normal
61,0.027183693979381973,Normal
62,0.027168877432429708,Normal
63,0.026920282560354787,Normal
64,0.026722543600405407,Normal
65,0.027021173622476326,Normal
66,0.026961629597027758,Normal
67,0.02692171363208141,Normal
68,0.02732251009299121,Normal
69,0.027061334216505716,Normal
70,0.027473139113089313,Normal
71,0.02731921249261469,Normal
72,0.026970438542439377,Normal
73,0.026624938394150453,Normal
74,0.026362123818838575,Normal
75,0.026098859872757615,Normal
76,0.026279827945391066,Normal
77,0.02662543370102532,Normal
78,0.02718048962271449,Normal
79,0.02669425373704589,Normal
80,0.026400817413281295,Normal
81,0.026694396093440875,Normal
82,0.026613187893395115,Normal
83,0.02689601194959536,Normal
84,0.0266021524174458,Normal
85,0.026743245860726312,Normal
86,0.02744379899717165,Normal
87,0.02763656427031985,Normal
88,0.028384151117192287,Normal
89,0.02895691011677465,Normal
90,0.02906282941144848,Normal
91,0.029193337889469706,Normal
92,0.029430557243951515,Normal
93,0.030029968365536504,Normal
94,0.030871710114986857,Normal
95,0.031180959290232985,Normal
96,0.03177657926466312,Normal
97,0.03174798636632854,Normal
98,0.03290820018520682,Normal
99,0.03406793167870142,Normal
100,0.03402763568247363,Normal
101,0.034868325612038086,Warning
102,0.03471157241624755,Warning
103,0.03420559433992342,Normal
104,0.033557941819066656,Normal
105,0.0335498245384636,Normal
106,0.03284036977125384,Normal
107,0.03223059787857414,Normal
108,0.03096862820967584,Normal
109,0.02984938662060433,Normal
110,0.028693890739791554,Normal
111,0.027653433215525318,Normal
112,0.026061857071658756,Normal
113,0.024808662006265608,Normal
114,0.025048425396602143,Normal
115,0.02474459197710669,Normal
116,0.02437439609391647,Normal
117,0.024469844745149426,Normal
118,0.025181327830142236,Normal
119,0.025678045416180184,Normal
120,0.02655927234945896,Normal
121,0.026773085624701907,Normal
122,0.02766250834249013,Normal
123,0.0283551602263317,Normal
124,0.028573750201862595,Normal
125,0.02900450931397583,Normal
126,0.029505645551072622,Normal
127,0.029548579828542216,Normal
128,0.029353493308476534,Normal
129,0.029125765067021754,Normal
130,0.029094042063934573,Normal
131,0.02888416351198769,Normal
132,0.029291830246648942,Normal
133,0.029600314784371255,Normal
134,0.029529118571943604,Normal
135,0.03080317748530834,Normal
136,0.03209648629935604,Normal
137,0.033352974087497274,Normal
138,0.034159797633049604,Normal
139,0.03514344441820543,Warning
140,0.035404058722632546,Warning
141,0.036389925198844555,Warning
142,0.036248267051079905,Warning
143,0.03635967101434013,Warning
144,0.03681519019493424,Warning
145,0.038321924806531904,Warning
146,0.038444422675991095,Warning
147,0.0384710033952174,Warning
148,0.03895241342511878,Warning
149,0.038193615163934484,Warning
150,0.03781361655320247,Warning
151,0.03629603777612396,Warning
152,0.03554814078549725,Warning
153,0.03530017850239949,Warning
154,0.034271561877337306,Warning
155,0.03331740954737918,Normal
156,0.03325268285452016,Normal
157,0.03280356131385969,Normal
158,0.0319603648449985,Normal
159,0.03081253819827372,Normal
160,0.030492651768140932,Normal
161,0.029002059679189864,Normal
162,0.02787843069130493,Normal
163,0.027502030831257022,Normal
164,0.02705174430231639,Normal
165,0.026904665287010274,Normal
166,0.027397278602843973,Normal
167,0.028213993034278316,Normal
168,0.029367190785959316,Normal
169,0.02950166535536424,Normal
170,0.030345302548213438,Normal
171,0.03140797596865802,Normal
172,0.03161117608262165,Normal
173,0.03209649046137696,Normal
174,0.03190987250249542,Normal
175,0.03290126396648938,Normal
176,0.0347729920922553,Warning
177,0.0359715356224492,Warning
178,0.03577240551602822,Warning
179,0.03677333508628004,Warning
180,0.03675876439838951,Warning
181,0.03631937155984812,Warning
182,0.03646989657585976,Warning
183,0.03645790877275805,Warning
184,0.03606950386904092,Warning
185,0.03562244130100986,Warning
186,0.03695015734981756,Warning
187,0.03748246375828596,Warning
188,0.03793376462330456,Warning
189,0.039166861711935584,Warning
190,0.038765656855643635,Warning
191,0.038135686527301337,Warning
192,0.038812493695267236,Warning
193,0.03884962027299134,Warning
194,0.03897402755547802,Warning
195,0.039224458308189124,Warning
196,0.03855134634219034,Warning
197,0.03917405502059935,Warning
198,0.03840426456618268,Warning
199,0.0375741455253905,Warning
200,0.03665168097390039,Warning
201,0.03495689539152807,Warning
202,0.03420830314500434,Normal
203,0.032671577173443586,Normal
204,0.03145772324745451,Normal
205,0.0316961107000001,Normal
206,0.0312296261073429,Normal
207,0.03142120082297632,Normal
208,0.03151549730132887,Normal
209,0.03218896404774348,Normal
210,0.035071266880567255,Warning
211,0.03790643934372832,Warning
212,0.04306106279563896,Warning
213,0.04643896290791125,Warning
214,0.048114678384968634,Warning
215,0.0494512616411789,Warning
216,0.05035519288702851,Warning
217,0.05080940568198373,Warning
218,0.05081949052930964,Warning
219,0.05139080108030415,High Risk
220,0.050971516945995034,Warning
221,0.05014730498363799,Warning
222,0.04985788306694184,Warning
223,0.04912206682467789,Warning
224,0.048085122120680335,Warning
225,0.04566403188683758,Warning
226,0.04088921218561013,Warning
227,0.038253359183354076,Warning
228,0.037279241815602555,Warning
229,0.03731196876889799,Warning
230,0.03702307174898968,Warning
231,0.037453939960078786,Warning
232,0.038418139093981514,Warning
233,0.03788255419958137,Warning
234,0.03807568974492466,Warning
235,0.03755003612919876,Warning
236,0.03776952418121717,Warning
237,0.03780780948922742,Warning
238,0.03620037277983933,Warning
239,0.036029904613384,Warning
240,0.03635690074618758,Warning
241,0.03649106103751846,Warning
242,0.03677101802160333,Warning
243,0.03609334499374245,Warning
244,0.03643258167021584,Warning
245,0.03691502086828262,Warning
246,0.03648849900635005,Warning
247,0.036605370243888324,Warning
248,0.03705653902601117,Warning
249,0.038494830423986194,Warning
250,0.03883496524664824,Warning
251,0.03765377974229496,Warning
252,0.03804699693839826,Warning
253,0.03708140744314272,Warning
254,0.03615731450839077,Warning
255,0.03600328484070752,Warning
256,0.03487527488240773,Warning
257,0.03461995188449436,Warning
258,0.03403076747516613,Normal
259,0.03229243368650099,Normal
260,0.03108664206156438,Normal
261,0.03001790390571227,Normal
262,0.028127517057066183,Normal
263,0.026164236391673704,Normal
264,0.024918894863489634,Normal
265,0.024477203325164783,Normal
266,0.02316409316412083,Normal
267,0.022731689073353507,Normal
268,0.02261777394735051,Normal
269,0.02176293061871537,Normal
270,0.021440642350161503,Normal
271,0.021927051223504763,Normal
272,0.02211043126767962,Normal
273,0.022574560657058977,Normal
274,0.023295453097087686,Normal
275,0.023842032782939004,Normal
276,0.024739934070724195,Normal
277,0.025859733587510536,Normal
278,0.02605116834913409,Normal
279,0.0261399942585932,Normal
280,0.02704306528172643,Normal
281,0.026956359415468267,Normal
282,0.027002742040096183,Normal
283,0.02809182915099171,Normal
284,0.02831658964323056,Normal
285,0.02794351105675743,Normal
286,0.02792493345513052,Normal
287,0.028291876364696506,Normal
288,0.02841890492176949,Normal
289,0.02833941254832911,Normal
290,0.028655885833954262,Normal
291,0.028272948153819994,Normal
292,0.028751421323537783,Normal
293,0.029721111172659624,Normal
294,0.03001519663580244,Normal
295,0.03084051550941905,Normal
296,0.0312238265028865,Normal
297,0.030753756524190105,Normal
298,0.03116457132680117,Normal
299,0.03162541846743549,Normal
300,0.03136966921641569,Normal
301,0.030986107111293966,Normal
302,0.031370492255127065,Normal
303,0.031222390857274056,Normal
304,0.03128836316338264,Normal
305,0.0313571459026374,Normal
306,0.031616489244774226,Normal
307,0.0315139978406143,Normal
308,0.03163074992137392,Normal
309,0.03177335926232556,Normal
310,0.031726124684422,Normal
311,0.032277809094567136,Normal
312,0.03276284911025844,Normal
313,0.03319973722813019,Normal
314,0.03391000614027263,Normal
315,0.03397829157549326,Normal
316,0.034016133814649324,Normal
317,0.033875413123842665,Normal
318,0.03362043808340105,Normal
319,0.03310364801820134,Normal
320,0.03284127042870828,Normal
321,0.032833675994821336,Normal
322,0.0333194754674117,Normal
323,0.03313071429275319,Normal
324,0.03392537467261544,Normal
325,0.03400899920008088,Normal
326,0.033281682464635004,Normal
327,0.032486040354660795,Normal
328,0.03207344262891063,Normal
329,0.032204086615229936,Normal
330,0.03181030366379904,Normal
